ccn,facility_name,county_fips,state_abbr,county_name,county_name_norm,zip_code,certified_beds,avg_residents,overall_rating,latitude,longitude
335523,NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER,,NY,Kings,KINGS,11219,135,129.1,3,40.6255,-74.004
335524,METHODIST HOME FOR NURSING AND REHABILITATION,,NY,Bronx,BRONX,10471,120,108.8,5,40.8911,-73.902
335525,RIVERSIDE CENTER FOR REHABILITATION AND NURSING,,NY,Rensselaer,RENSSELAER,12033,80,77.1,2,42.5354,-73.709
335526,HIGHLAND REHABILITATION AND NURSING CENTER,,NY,Orange,ORANGE,10940,98,90.4,1,41.4538,-74.419
335527,GOOD SHEPHERD-FAIRVIEW HOME INC,,NY,Broome,BROOME,13904,54,50.3,3,42.1102,-75.877
335528,PLATTSBURGH REHABILITATION AND NURSING CENTER,,NY,Clinton,CLINTON,12901,89,80.9,4,44.6828,-73.46
335531,HILLSIDE MANOR REHAB & EXTENDED CARE CENTER,,NY,Queens,QUEENS,11432,305,305.0,3,40.7157,-73.794
335532,Aaron Manor Rehabilitation and Nursing Center,,NY,Monroe,MONROE,14450,140,135.2,4,43.0875,-77.432
335533,ABSOLUT CTR FOR NURSING & REHAB GASPORT L L C,,NY,Niagara,NIAGARA,14067,83,78.9,1,43.1942,-78.573
335534,SALAMANCA REHABILITATION & NURSING CENTER,,NY,Cattaraugus,CATTARAUGUS,14779,120,113.4,5,42.1577,-78.732
335537,"RUTLAND NURSING HOME, INC",,NY,Kings,KINGS,11203,305,305.0,2,40.6588,-73.934
335538,CONCORD NURSING AND REHABILITATION CENTER,,NY,Kings,KINGS,11216,140,136.5,3,40.6851,-73.947
335539,OUR LADY OF CONSOLATION NURSING AND REHAB CARE CTR,,NY,Suffolk,SUFFOLK,11795,305,280.1,2,40.691,-73.292
335540,THE GRAND REHABILITATION AND NRSG AT GUILDERLAND,,NY,Albany,ALBANY,12009,127,118.2,1,42.7023,-73.962
335541,MASONIC CARE COMMUNITY OF NEW YORK,,NY,Oneida,ONEIDA,13501,305,284.1,1,43.0884,-75.186
335543,CAPSTONE CENTER FOR REHABILITATION AND NURSING,,NY,Montgomery,MONTGOMERY,12010,120,115.8,1,42.9145,-74.106
335545,KING DAVID CENTER FOR NURSING AND REHABILITATION,,NY,Kings,KINGS,11214,271,262.5,4,40.596,-73.997
335546,PRESBYTERIAN HOME FOR CENTRAL NEW YORK INC,,NY,Oneida,ONEIDA,13413,242,66.7,2,43.0729,-75.343
335548,Onondaga Center for Rehabilitation and Nursing,,NY,Onondaga,ONONDAGA,13116,82,78.2,1,43.0784,-75.998
335549,WARREN CENTER FOR REHABILITATION AND NURSING,,NY,Warren,WARREN,12804,80,76.4,2,43.3594,-73.706
