county_fips,state_abbr,county_name,county_name_norm,year,total_population,pop_65_plus,pct_pop_65_plus
02070,AK,Dillingham Census Area,DILLINGHAM,2020,4840,605,0.125
02070,AK,Dillingham Census Area,DILLINGHAM,2021,4794,599,0.124948
02070,AK,Dillingham Census Area,DILLINGHAM,2022,4716,589,0.124894
02070,AK,Dillingham Census Area,DILLINGHAM,2023,4626,578,0.124946
02070,AK,Dillingham Census Area,DILLINGHAM,2024,4642,580,0.124946
02090,AK,Fairbanks North Star Borough,FAIRBANKS NORTH STAR,2020,95349,11919,0.125004
02090,AK,Fairbanks North Star Borough,FAIRBANKS NORTH STAR,2021,95553,11944,0.124999
02090,AK,Fairbanks North Star Borough,FAIRBANKS NORTH STAR,2022,95749,11969,0.125004
02090,AK,Fairbanks North Star Borough,FAIRBANKS NORTH STAR,2023,95700,11963,0.125005
02090,AK,Fairbanks North Star Borough,FAIRBANKS NORTH STAR,2024,94951,11869,0.125001
02100,AK,Haines Borough,HAINES,2020,2085,261,0.12518
02100,AK,Haines Borough,HAINES,2021,2075,259,0.124819
02100,AK,Haines Borough,HAINES,2022,2079,260,0.12506
02100,AK,Haines Borough,HAINES,2023,2088,261,0.125
02100,AK,Haines Borough,HAINES,2024,2104,263,0.125
02105,AK,Hoonah-Angoon Census Area,HOONAH-ANGOON,2020,2354,294,0.124894
02105,AK,Hoonah-Angoon Census Area,HOONAH-ANGOON,2021,2328,291,0.125
02105,AK,Hoonah-Angoon Census Area,HOONAH-ANGOON,2022,2282,285,0.12489
02105,AK,Hoonah-Angoon Census Area,HOONAH-ANGOON,2023,2278,285,0.12511
02105,AK,Hoonah-Angoon Census Area,HOONAH-ANGOON,2024,2312,289,0.125
02110,AK,Juneau City and Borough,JUNEAU,2020,32203,4025,0.124988
02110,AK,Juneau City and Borough,JUNEAU,2021,31972,3996,0.124984
02110,AK,Juneau City and Borough,JUNEAU,2022,31742,3967,0.124976
02110,AK,Juneau City and Borough,JUNEAU,2023,31483,3935,0.124988
02110,AK,Juneau City and Borough,JUNEAU,2024,31572,3946,0.124984
02122,AK,Kenai Peninsula Borough,KENAI PENINSULA,2020,58941,7367,0.124989
02122,AK,Kenai Peninsula Borough,KENAI PENINSULA,2021,59947,7493,0.124994
02122,AK,Kenai Peninsula Borough,KENAI PENINSULA,2022,60631,7579,0.125002
02122,AK,Kenai Peninsula Borough,KENAI PENINSULA,2023,61285,7660,0.12499
02122,AK,Kenai Peninsula Borough,KENAI PENINSULA,2024,61259,7657,0.124994
